
Normal training and testing on Brown.

----------------------------------------------------------------------
    Seed Size       added       total          f1        time
         1000         0.0     23490.0       0.699         171
         2000         0.0     49834.0       0.730         335
         3000         0.0     75155.0       0.750         407
         4000         0.0    100075.0       0.766         504
         5000         0.0    128000.0       0.772         650
         7000         0.0    170848.0       0.785         814
        10000         0.0    224292.0       0.796         982
        13000         0.0    275149.0       0.801        1116
        17000         0.0    342499.0       0.807        1323
        21000         0.0    419897.0       0.811        1567

----------------------------------------------------------------------
