
Normal training on Brown and testing on WSJ.

----------------------------------------------------------------------
    Seed Size       added       total          f1        time
         1000         0.0     23490.0       0.644         196
         2000         0.0     49834.0       0.683         392
         3000         0.0     75155.0       0.700         541
         4000         0.0    100075.0       0.710         657
         5000         0.0    128000.0       0.718         810
         7000         0.0    170848.0       0.731        1092
        10000         0.0    224292.0       0.730        1303
        13000         0.0    275149.0       0.736        1422
        17000         0.0    342499.0       0.743        1775
        21000         0.0    419897.0       0.745        6088

----------------------------------------------------------------------
