Self training of Brown
----------------------------------------------------------------------
self-training       added       total          f1        time
         1000     23490.0    279758.0       0.761        7670
         2000     49834.0    329592.0       0.759        4406
         3000     75155.0    404747.0       0.760       23876
         4000    100075.0    504822.0       0.759        2448
         5000    128000.0    632822.0       0.761        2742
         7000    170848.0    803670.0       0.762        3032
        10000    224292.0   1027962.0       0.764        3591
        13000    275149.0   1303111.0       0.761        4075
        17000    342499.0   1645610.0       0.762        3723
        21000    419897.0   2065507.0       0.763        5113

----------------------------------------------------------------------
