Self training of WSJ
----------------------------------------------------------------------
self-training       added       total          f1        time
         1000     21475.0    245767.0       0.742        6184
         2000     47533.0    271825.0       0.747        6392
         3000     72163.0    296455.0       0.750        6541
         4000     99373.0    324367.0       0.752        6657
         5000    111976.0    352292.0       0.749        6810
         7000    160925.0    395140.0       0.753        8092
        10000    213756.0    448548.0       0.759        8303
        13000    268246.0    499441.0       0.762        9422
        17000    332556.0    566791.0       0.761        9775
        21000    407864.0    644189.0       0.762        9988

----------------------------------------------------------------------
