
Unsupervised domain adaption by normal training on WSJ,
self-training on Brown, and then testing on Brown

----------------------------------------------------------------------
    Seed Size       added       total          f1        time
         1000    409674.0    435676.0       0.686        4143
         2000    409674.0    460909.0       0.713        4434
         3000    409674.0    485826.0       0.723        4624
         4000    409674.0    511555.0       0.730        5706
         5000    409674.0    536781.0       0.743        6776
         7000    409674.0    589620.0       0.748        7876
        10000    409674.0    665942.0       0.760        8229
        13000    409674.0    743397.0       0.772        9277
        16000    409674.0    818353.0       0.780       10462
        20000    409674.0    918791.0       0.783       10702
        25000    409674.0   1045439.0       0.785       11981
        30000    409674.0   1170932.0       0.785       11252
        35000    409674.0   1297696.0       0.790       12542

----------------------------------------------------------------------
