
Normal training on WSJ and testing on Brown.

----------------------------------------------------------------------
    Seed Size       added       total          f1        time
         1000         0.0     26002.0       0.670        2343
         2000         0.0     51235.0       0.700         434
         3000         0.0     76152.0       0.711         624
         4000         0.0    101881.0       0.726         706
         5000         0.0    127107.0       0.728         776
         7000         0.0    179946.0       0.738         876
        10000         0.0    256268.0       0.756        1229
        13000         0.0    333723.0       0.762        1277
        16000         0.0    408679.0       0.769        1462
        20000         0.0    509117.0       0.771        1702
        25000         0.0    635765.0       0.776        1981
        30000         0.0    761256.0       0.778        2252
        35000         0.0    888088.0       0.783        2542

----------------------------------------------------------------------
