
Normal training and testing on WSJ.

----------------------------------------------------------------------
    Seed Size       added       total          f1        time
         1000         0.0     26002.0       0.717         282
         2000         0.0     51235.0       0.766         355
         3000         0.0     76152.0       0.779         423
         4000         0.0    101881.0       0.790         535
         5000         0.0    127107.0       0.797         606
         7000         0.0    179946.0       0.806         727
        10000         0.0    256268.0       0.811        1010
        13000         0.0    333723.0       0.820        1143
        16000         0.0    408679.0       0.824        1328
        20000         0.0    509117.0       0.829        1507
        25000         0.0    635765.0       0.831        1796
        30000         0.0    761256.0       0.835        1681
        35000         0.0    888088.0       0.835        1936

----------------------------------------------------------------------
